test,ARI,NMI,score
Bootstrap Pairwise,0.9930878793337046,0.9800366482334315,1.380701094329299
Sensitivity (k=2),0.6384673368000009,0.5880453421381936,-6.260845813844297
Sensitivity (k=3),0.8979108175164302,0.8445958509488167,-0.9492921526241354
Sensitivity (k=4),0.9980908706145328,0.9928571414975077,1.5558000713126554
Sensitivity (k=5),0.9745440944596847,0.9388956745054906,0.7905674959295181
Sensitivity (k=6),0.8838667181708266,0.8411047167674137,-1.1408529433154055
Noise (σ=0.00),1.0,1.0,1.6433911891164872
Noise (σ=0.10),0.9937499901016758,0.9813836857810161,1.4006466798063113
Noise (σ=0.20),0.9885574339354337,0.9632464445621244,1.1743214576445293
Noise (σ=0.30),0.9843125410623278,0.9564832820503882,1.0637348356617142
Noise (σ=0.40),0.9796119475505943,0.9386457735565906,0.8457577847487256
Noise (σ=0.50),0.9763988648308338,0.9291301493670687,0.7214712521188971
Dropout (rate=0.0),1.0,1.0,1.6433911891164872
Dropout (rate=0.1),0.9826473456327763,0.9440319089689561,0.9299117000749416
Dropout (rate=0.2),0.9568280317275744,0.886372558111455,0.10476337328377877
Dropout (rate=0.3),0.9207143108342898,0.818283888541528,-0.9334458856892395
Dropout (rate=0.4),0.8663882535793827,0.7570657862972198,-2.1148640345152847
Dropout (rate=0.5),0.785091074001621,0.6885658937804795,-3.6694947522064414
Generalization (A→B),0.9807455824651058,0.9527282877744532,0.9886061743313659
Generalization (B→A),0.976312533260552,0.9405315885863821,0.8257312847201865
